"","name","studyName","germplasmDbId","trait","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"143","VA19W-29","PNU_Scb_21","280861","FHB.severity.....",45.8416259733968,5.93478506784345,57.5128286497389,34.1704232970546,"Estimable"
"144","VA19W-29","PNU_Scb_21","280861","Heading.time...Julian.date..JD..",137.561246998622,0.662147758162597,138.863410530891,136.259083466352,"Estimable"
"145","X12-052-1-18-3","PNU_Scb_21","280863","FHB.grain.incidence.....",33.1250661372538,6.67863452268178,46.2591048976092,19.9910273768984,"Estimable"
"146","X12-052-1-18-3","PNU_Scb_21","280863","FHB.incidence.....",55.9583987004305,10.4071208199712,76.4247871169533,35.4920102839078,"Estimable"
"147","X12-052-1-18-3","PNU_Scb_21","280863","FHB.severity.....",47.5088094492551,6.0075957842908,59.3231998938066,35.6944190047036,"Estimable"
"148","X12-052-1-18-3","PNU_Scb_21","280863","Heading.time...Julian.date..JD..",137.992136119236,0.667141710088535,139.304120634812,136.680151603659,"Estimable"
"149","X12-3024-47-4-5","PNU_Scb_21","280865","FHB.grain.incidence.....",29.8033046665632,6.68801896032928,42.9557986317046,16.6508107014219,"Estimable"
"150","X12-3024-47-4-5","PNU_Scb_21","280865","FHB.incidence.....",63.2860585105766,10.373430020382,83.6861914273907,42.8859255937625,"Estimable"
"151","X12-3024-47-4-5","PNU_Scb_21","280865","FHB.severity.....",23.0155925593829,5.94348491484657,34.7039041413494,11.3272809774164,"Estimable"
"152","X12-3024-47-4-5","PNU_Scb_21","280865","Heading.time...Julian.date..JD..",138.364124683899,0.662470320428174,139.666922559204,137.061326808594,"Estimable"
"153","X12-3114-65-7-1","PNU_Scb_21","280867","FHB.grain.incidence.....",46.7733732054594,6.67412719172415,59.8985479593623,33.6481984515566,"Estimable"
"154","X12-3114-65-7-1","PNU_Scb_21","280867","FHB.incidence.....",76.8393928660362,10.3731473125829,97.2389698166302,56.4398159154421,"Estimable"
"155","X12-3114-65-7-1","PNU_Scb_21","280867","FHB.severity.....",30.617296631659,5.94061276107813,42.2999599065064,18.9346333568116,"Estimable"
"156","X12-3114-65-7-1","PNU_Scb_21","280867","Heading.time...Julian.date..JD..",137.907187412482,0.662369471607249,139.20978696097,136.604587863993,"Estimable"
"157","07-4415","PNU_Scb_21","84801","FHB.grain.incidence.....",2.82698415822273,6.67825923450317,15.9602848860556,-10.3063165696101,"Estimable"
"158","07-4415","PNU_Scb_21","84801","FHB.incidence.....",15.4741138053008,10.408278083103,35.9427780670996,-4.99455045649794,"Estimable"
"159","07-4415","PNU_Scb_21","84801","FHB.severity.....",7.84802912689721,6.01710238438498,19.6811150179044,-3.98505676411,"Estimable"
"160","07-4415","PNU_Scb_21","84801","Heading.time...Julian.date..JD..",133.205717592534,0.667517169927174,134.518440478215,131.892994706852,"Estimable"
"161","Pio 25R47","PNU_Scb_21","84900","FHB.grain.incidence.....",14.4128035059475,6.68842536256412,27.5660966917509,1.25951032014415,"Estimable"
"162","Pio 25R47","PNU_Scb_21","84900","FHB.incidence.....",53.079219282429,10.3730077718851,73.4785218157109,32.6799167491471,"Estimable"
"163","Pio 25R47","PNU_Scb_21","84900","FHB.severity.....",32.4203414488139,5.93940843138444,44.1006363184396,20.7400465791882,"Estimable"
"164","Pio 25R47","PNU_Scb_21","84900","Heading.time...Julian.date..JD..",135.670677627376,0.662323506944921,136.973186782888,134.368168471865,"Estimable"
"165","02-18228","PNU_Scb_21","85081","FHB.grain.incidence.....",-0.00606955780289334,6.67928821312869,13.129254734144,-13.1413938497498,"Estimable"
"166","02-18228","PNU_Scb_21","85081","FHB.incidence.....",2.03338663731659,10.372892896769,22.4324632600143,-18.3656899853811,"Estimable"
"167","02-18228","PNU_Scb_21","85081","FHB.severity.....",7.64900084740507,5.93861069762253,19.3277269133908,-4.02972521858064,"Estimable"
"168","02-18228","PNU_Scb_21","85081","Heading.time...Julian.date..JD..",135.732994944869,0.662288305000859,137.035434873101,134.430555016637,"Estimable"
"169","17-25205","PNU_Scb_21","97174","FHB.grain.incidence.....",1.61840260900091,6.68355135163401,14.7621106845161,-11.5253054665143,"Estimable"
"170","17-25205","PNU_Scb_21","97174","FHB.incidence.....",1.53800400578234,10.4079760698859,22.0060743357998,-18.9300663242351,"Estimable"
"171","17-25205","PNU_Scb_21","97174","FHB.severity.....",9.3865637686611,6.01358624314686,21.2127349025946,-2.43960736527241,"Estimable"
"172","17-25205","PNU_Scb_21","97174","Heading.time...Julian.date..JD..",135.608655687322,0.66740233112844,136.92115273384,134.296158640804,"Estimable"
"173","17-8626","PNU_Scb_21","97299","FHB.grain.incidence.....",2.42317493690482,6.68366829192296,15.5671129843226,-10.7207631105129,"Estimable"
"174","17-8626","PNU_Scb_21","97299","FHB.incidence.....",10.1175653298232,10.4075985690748,30.5848932760094,-10.349762616363,"Estimable"
"175","17-8626","PNU_Scb_21","97299","FHB.severity.....",3.34511396475915,6.01044231893506,15.1651023344888,-8.47487440497051,"Estimable"
"176","17-8626","PNU_Scb_21","97299","Heading.time...Julian.date..JD..",131.720092113916,0.667278175962816,133.032344999932,130.4078392279,"Estimable"
"177","Ernie","PNU_Scb_21","98313","FHB.grain.incidence.....",12.2752895613234,6.67856061172475,25.4091829702045,-0.858603847557664,"Estimable"
"178","Ernie","PNU_Scb_21","98313","FHB.incidence.....",19.8272741502114,10.3731473058733,40.2268510876105,-0.572302787187684,"Estimable"
"179","Ernie","PNU_Scb_21","98313","FHB.severity.....",36.0493720864649,5.94061272690656,47.7320352941113,24.3667088788185,"Estimable"
"180","Ernie","PNU_Scb_21","98313","Heading.time...Julian.date..JD..",137.092813907696,0.662369460688836,138.395413434712,135.790214380679,"Estimable"
"181","Freedom","PNU_Scb_21","98427","FHB.grain.incidence.....",8.95687613910559,6.67417734533867,22.082149523876,-4.16839724566486,"Estimable"
"182","Freedom","PNU_Scb_21","98427","FHB.incidence.....",8.53977397039575,10.3727588722054,28.9385870236755,-11.859039082884,"Estimable"
"183","Freedom","PNU_Scb_21","98427","FHB.severity.....",5.82070776407332,5.93746190659441,17.4971746458142,-5.85575911766753,"Estimable"
